"prd"	"pcn"	"ph2h"	"actualrd"
"1"	-0.453516294933448	0.101809954771493	0.75	-3
"2"	-2.54545454541818	-1.3792766372219	-2.6	-7.66666667
"3"	0.392156862647059	1.27272727264394	-0.2	1
"4"	0.529411764705882	-0.117647058870588	1.375	3
"5"	-0.313725490392157	0.692307692038462	1.666666667	-1.5
"6"	-0.449197861077362	-0.714285714666667	2.333333333	-3
"7"	0.751885369589366	0.424242424109091	-0.333333333	1
"8"	0.509803921529412	0.476923076807692	0	5.5
"9"	-0.605664488223312	-0.812500000125	0	-2
"10"	0.0580392156870588	-1.36742424251705	0	-0.66666667
"11"	-1.05007256901778	-1.831250000025	0.75	-1.66666667
"12"	-1.79110105602074	-3.66666666691667	0	-1
"13"	0.600000000109091	1.03378378389565	0.666666667	2.75
"14"	-0.431372549039216	0.451111111206667	0	-3
"15"	-1.56363636365455	-1.467532467671	2.666666667	-2.5
"16"	-0.03999999996	-1.11458333347276	0.666666667	-1.33333333
"17"	-0.463423830973982	-1.13333333327778	2.333333333	-1.75
"18"	-0.611990950167044	-1.21614906836522	0	1.66666667
"19"	1.80413105407479	0.439586645250397	0	3.66666667
"20"	0.171538461559231	0.849999999964286	-0.6	-4.75
"21"	-0.0463800905554299	1.15994623666129	0	-1.33333333
"22"	1.1808278866732	4.095238096	0	-1
"23"	-1.35407239820928	-2.46666666656667	-1.666666667	-8
"24"	0.381818181654546	0.972043010456989	-1.5	-1
"25"	-0.188235294226738	-0.2666666668	0	-7.5
"26"	-1.87272727287273	-1.36323529434853	-2.857142857	-2.25
"27"	1.37804459683911	4.5	1	1
"28"	0.761611030402395	-0.273757628537053	2.222222222	-7.33333333
"29"	0.181940700736186	0.71794871781044	0.75	1.66666667
"30"	0.8605121292719	0.130303030266667	4	-0.5
"31"	-1.01282051268732	-1.69610389598788	0	-1.33333333
"32"	-1.88095238096892	-2.02398676599917	-1	3
"33"	-1.48148148140741	-0.967994310019914	-2	-1.33333333
"34"	1.67307692317308	2.28421052651128	0	1.5
"35"	1.43099547511312	2.38352272739489	0.833333333	-1
"36"	2.6858974358604	2.74294871792308	-2.333333333	1.25
"37"	-0.804945054891483	-1.27941176471814	2.666666667	0.5
"38"	-0.255102040783163	0.395071542155008	0	1
"39"	1.33428571453929	1.01152073767742	0	-0.33333333
"40"	-1.80413105407479	-0.439586645250397	0	-2.66666667
"41"	-1.88671023953595	-1.51623376630844	0	-8
"42"	-0.342592592555556	-0.738970588117647	0	0.66666667
"43"	1.41319073080285	1.6405797099913	0	-1.25
"44"	-0.510935143287707	0.414141414409091	0.5	-6
"45"	1.68137254903922	0.895833333333333	1	4
"46"	1.06429070572537	1.99009008987568	0	0
"47"	-1.23200559070056	-1.57748538030994	0.333333333	5.5
"48"	-2.09193825048473	-1.14923076923077	-1.75	0
"49"	-1.80102915959383	-1.9779069768157	0	0.75
"50"	0.834772370449372	1.08516483513462	-1.25	-2
"51"	0.881152461004802	0.248663101724599	2.333333333	5
"52"	0.0434618293076341	1.26428571439683	0	-1
"53"	0.294117646980392	-0.0514285716114286	0	0.33333333
"54"	0.822419533810581	-1.17647058816387	2.5	1
"55"	-0.409586056889978	1.53846153816667	-3.666666667	4.33333333
"56"	1.54411764698039	-0.277777777830808	3.333333333	2.25
"57"	-1.21803921584706	-0.666666666877743	-0.888888889	-10
"58"	-0.466153846257693	-0.959150326931373	-2.5	-5
"59"	-1.33428571453929	-1.01152073767742	0	5
"60"	2.60897435895655	2.08451503114691	3.6	3.5
"61"	2.06230769252692	1.66666666675	0.666666667	-1.5
"62"	1.09325108844013	1.39999999995	0	-1
"63"	2.19230769232692	2.88888888894444	0	1.66666667
"64"	2.11907308384207	1.13186813193407	0	2
"65"	1.79110105602074	3.66666666691667	0	1.5
"66"	-0.135472370685205	-0.857041251672831	0	2
"67"	1.09725490211843	0.7437500002	0	7
"68"	0.70370370387037	1.70777777795333	0.5	3
"69"	1.30370370397946	1.66904761930079	0	-1.33333333
"70"	0.272331154831155	0.533333333436364	-2.333333333	2
"71"	1.35209790213531	-1.77116704819451	0	-4
"72"	2.16363636376364	1.86647727284848	-0.333333333	2.66666667
"73"	0.544405594423776	-1.76923076938462	0	2.66666667
"74"	0.253496503532867	NA	0.5	6
"75"	0.803339517641187	3.87878787867677	0	0
"76"	1.02592592592391	1.0000000002	-4	3
"77"	0.0296995107393431	0.0732323230934344	0.333333333	-2.5
"78"	-0.0434618293076341	-1.26428571439683	0	-3
"79"	0.890211640011243	1.23783783758224	0	-7
"80"	0.576869321928022	-0.111111111333333	3.75	1.33333333
"81"	1.63259259251556	1.1041666663125	1.333333333	-2
"82"	0.568301886790189	-0.10125000015125	-0.571428571	0
"83"	-1.09725490211843	-0.7437500002	0	-3
"84"	-0.0989010988695055	-0.583333333293651	0	-0.66666667
"85"	-0.675824175715659	-1.32363636352727	0	1.5
"86"	-1.40659340652335	-1.53695090434419	0	-1.5
"87"	1.48148148140741	0.967994310019914	2	4
"88"	-0.479302832202614	-1.63461538469231	0	-0.5
"89"	-0.611111111037037	-0.513445378038655	2	-2.66666667
"90"	-0.0342417891090147	1.74404761908929	0.333333333	-2
"91"	0.214441219213716	-0.286713286559441	0	2
"92"	0.969056604086793	1.41857142891429	0.666666667	3.5
"93"	0.313342318083221	0.846896551786207	0.3	3
"94"	-2.07352941168627	-2.0000000000303	-1.333333333	2.33333333
"95"	-1.34803921564706	NA	0.666666667	-5
"96"	-1.06481481477778	0.444444444410256	0	3.33333333
